id,name,country,lat,lon,location_precision,description,elevation_m,distance_to_coast_km,climate_zone
49891,Balapitiya,Sri Lanka,6.290816,80.039504,precise,"An ancient place, cited: BAtlas 5 inset Balapitiya",7.0,36.9,equatorial
403766790,Ramappa Temple,India,18.2593042,79.9432497,precise,A thirteenth-century temple that was built during the period of the Kakatiya ruler Ganapati Deva.,204.0,586.1,tropical
478135823,Udayagiri Caves,India,23.53699961025953,77.77161958958447,rough,"Complex of 20 cave temples in Madhya Pradesh dedicated to the gods Vishnu and Shiva, constructed from the 3rd-5th centuries CE.",439.0,720.9,subtropical
465741478,Devipattinam,India,9.47763,78.89558,precise,"A modern village located on the Bay of Bengal in Tamil Nadu, just north of the Rameswaram peninsula. Epigraphic and ceramic evidence indicate that the village's antecedent was a thriving locus of maritime trade from the 13th to the 17th centuries CE.",6.0,126.3,equatorial
444530273,Kayal,India,8.66967,78.09331,precise,A medieval port city on the Bay of Bengal that seems to have replaced ancient Korkai as landscape change modified the course of the Tamiraparani river and the coastline at its delta.,6.0,91.0,equatorial
454189058,Visakhapatnam,India,17.6935526,83.2921297,precise,"Although the present city in the Indian state of Andhra Pradesh seems to have been founded in the 11th or 12th century CE, archaeological evidence indicates the natural harbor at Visakhapatnam has served as a center of maritime trade from the 4th or 3rd century BCE onward.",11.0,612.6,tropical
394186381,Banteay Srei,Cambodia,13.59893595001731,103.96305165150494,precise,"Buddhist temple at Angkor, located approximately 20 km northeast of the main temple complex. Dedicated to Shiva, the temple was constructed during the 10th century CE during the reigns of Rajendravarman II and Jayavarman V.",56.0,337.2,tropical
308085066,Ajanta Caves,India,20.552562348137844,75.7007458984884,precise,"The Ajanta Caves are among the earliest Buddhist cave monuments and date from the second and first centuries B.C. During the Gupta period (fifth and sixth centuries A.D.), additional decorated caves were added to the group.",460.0,349.2,tropical
371645386,Nachchaduwa Tank,Sri Lanka,8.2479832410779,80.48852377064074,precise,"A major modern reservoir in Sri Lanka, located southeast of Anuradhapura. Its original construction is traditionally dated to the late third or early fourth century CE. BAtlas 5 inset labels its geometry as ""Megisba Stagnum"", a toponym for a swamp or wetland reported by Pliny during the first century CE.",100.0,180.7,equatorial
364279264,Angkor Thom,Cambodia,13.44125729032968,103.85899253047144,precise,Walled city established as the capital city of the Khmer Empire during the late 12th century CE by Jayavarman VII. The city was abandoned by 1609.,35.0,318.3,tropical
348371058,Polonnaruwa,Sri Lanka,7.9475093461190465,81.00133944621713,precise,An ancient city of the Kingdom of Polonnaruwa dating ca. AD 1070. Inscribed as a UNESCO World Heritage Site in 1982.,69.0,233.5,equatorial
338595017,Khajuraho Group of Monuments,India,24.853084307939035,79.92084200133833,precise,The Khajuraho Group of Monuments is designated as a UNESCO World Heritage site located in the modern Indian state of Madhya Pradesh. These temples were built during the Chandella dynasty (ca. 950-1050 CE). The remaining temples belong to two different religions – Hinduism and Jainism,221.0,854.5,subtropical
357004422,Sri Ahobila Narasimha Swamy Temple,India,15.124439305864389,78.73617884429487,precise,"Main temple in Ahobilam dedicated to the man-lion form of the Hindu god Vishnu built or expanded in the 14th century, sacked by the Mughals in 1578, then restored and expanded at various times up to the present day.",378.0,290.3,tropical
35745675,Siyapur,India,26.9762626,79.8266233,precise,"Settlement in Uttar Pradesh, India containing remains dated from the pre-Painted Grey Ware period (1200 BCE) through the Kushana period (3rd century CE).",137.0,980.5,subtropical
292003314,Cave 13 at Udayagiri,India,23.5362633,77.7720448,precise,"Cave 13 at Udayagiri, known as the Nārāyaṇa cave, contains a large relief panel of Vishnu's Nārāyaṇa avatar.",440.0,720.9,subtropical
270118641,Ganesh Ratha,India,12.618430438149767,80.19250431627813,precise,Modern name of a seventh-century Pallava rock-cut temple at Mahābalipuram.,11.0,44.0,tropical
